제품_ID,브랜드,제품명,종류,평점,리뷰수,쇼핑몰,가격,핵심요약
1,정담김,구운 김밥김 100매,김밥용,4.6,3600,쿠팡,"17,900원",터짐 없고 대용량(100매)으로 경제적 + 품질우수
2,청정원,올리브유 재래김,도시락김,4.5,1200,다중몰,"3,500~4,000",이탈리아산 올리브유 + 고소하면서 적절한 간
3,만전김,햇살과 바람이 길러낸 유기김,도시락김,4.7,1800,컬리,"10,900",유기농 인증 + 건강한 재료 + 가족용 추천
4,성경식품,지도표 성경 녹차식탁김,도시락김,4.8,950,다중몰,"4,000~4,500",최고평점(4.8) + 녹차향기 + 뉴질랜드염
5,광천해저김,짜지 않은 김,도시락김,4.6,620,컬리,"3,500~4,500",저염식(건강고민가족용) + 고소함 유지
6,동원,양반 들기름 식탁김,도시락김,4.3,2100,다중몰,"2,000~3,000",국민 조미김 + 들기름 고소함 + 가성비
7,풀무원,재래김 (들기름),도시락김,4.2,1650,다중몰,"2,500~3,500",대기업신뢰도 + 안정적 맛 + 무난한 선택
8,CJ제일제당,비비고 직화구이김,도시락김,4.5,1400,편의점,"2,500~3,500",직화구이로 고소함 극대화 + 편의점 구매용
9,소문난삼부자,한가족김,도시락김,4.3,2800,다중몰,"2,000~2,500",저가격 국민 조미김 + 가성비 최우선
10,해표,더 고소한 김 재래김,도시락김,4.6,1100,다중몰,"3,500~4,500",들기름+참기름 압착유 + 고소함 극대화
11,자연드림,더 고소하게 구은 재래김,도시락김,4.7,780,다중몰,"4,500~5,500",프리미엄 최고급(유기농+압착유+미세플라스틱제거)
12,만전김,할아버지가 만든 유기김,도시락김,4.6,650,컬리,"8,900~10,900",저염(35%감소) + 유산균 첨가 = 건강고려
13,대천김,곱창 도시락김 5g,도시락김,4.7,2250,컬리,"12,500원",곱창처럼 두텁고 오독오독한 식감 + 은은한 단맛
14,대천김,곱창 캔김 30g (8캔),고급캔김,4.7,350,컬리,"36,000~41,000원",프리미엄 선물용 + 곱창 품질 + 대용량
15,해우촌,파래 곱창 도시락김,도시락김,4.6,1850,이마트,"3,500~4,500",파래 특유의 향기 + 곱창 식감 + 화학조미료 무
16,해우촌,재래김 160봉 파래,대량도시락김,4.5,420,온라인,"37,990원",대량구매용 + 파래 고급스러움 + 가성비
17,CJ제일제당,비비고 들기름 직화,도시락김,4.5,1520,편의점/마트,"9,980원",직화구이 + 프리미엄 들기름 + 편의점용
18,동원,양반 참기름김 식탁,도시락김,4.4,1980,편의점/마트,"4,780~5,480원",참기름 고소함 + 시장 1위 신뢰도
19,동원,양반 올리브유김,도시락김,4.4,890,다중몰,"4,500~5,500",올리브유 프리미엄 + 건강식
20,풀무원,올리브유 바삭김,도시락김,4.3,1340,다중몰,"3,500~4,500",올리브유 + 바삭한 식감 + 대기업신뢰
21,성경식품,지도표 재래 전장김,대형김,4.8,520,다중몰,"8,500~12,000",프리미엄 전장김 + 최고평점
22,성경식품,지도표 파래김 독도판,도시락김,4.7,680,온라인,"5,000~6,000",독도 한정판 + 파래 상큼함
23,광천김,달인 파래 광천김,도시락김,4.6,1520,다중몰,"3,500~4,500",광천의 대표 파래 + 달인의 기술
24,광천김,소문난 파래 광천김,대량김,4.6,2340,온라인,"20,000~25,000",소문난 파래 명성 + 저가 대량
25,광천별식품,파래 식탁김 15g,도시락김,4.5,1100,이마트,"4,000~4,500",광천 전문 + 파래 신선도
26,해맛김,명란김 도시락,특수도시락김,4.8,580,온라인,"6,500~8,000",명란젓 특이맛 + 신제품인기 + 덜 짠맛
27,해맛김,명란 김자반,고급기타,4.8,420,온라인,"7,500~9,000",명란 + 김자반 조합 + 술안주 최고
28,해맛김,명란 전장김,대형고급,4.7,280,온라인,"12,000~15,000",명란 전장 프리미엄 + 명란 감칠맛
29,영신식품,소문난 서천 재래김,도시락김,4.4,1650,다중몰,"3,000~4,000",서천 지역 특산 + 소문난 맛
30,대상/청정원,들기름 바삭김,도시락김,4.4,1280,다중몰,"2,500~3,500",청정원 들기름 고소함 + 바삭식감
31,기역이미음,일월의돌김 5g,특수도시락,4.4,680,온라인,"5,000~6,500",신제품 차별화 + 마린토닉
32,곰곰,광천 도시락김 256개,대량김,4.5,4200,쿠팡,"54,050~80,000",곰곰 가성비 + 광천 품질 + 최대대량
33,진도,곱창 조미김 도시락,도시락김,4.7,940,온라인,"5,000~6,500",진도 최고 원초 + 곱창식감 + 적조 무
34,진도,더 고소한 구은김,도시락김,4.6,730,온라인,"4,500~5,500",진도산 + 고소함 극대화
35,CJ명가,재래김 16봉,도시락김,4.5,1100,편의점/마트,"7,000원",CJ명가 전통 + 재래김 정통성
36,만전김,갓구은 재래김,도시락김,4.7,1520,다중몰,"7,900~9,500",손으로 직접 구음 + 신선도
37,대천김,재래 도시락김 5g,도시락김,4.8,2180,쿠팡,"12,500~14,900",곱창 다음 프리미엄 라인 + 높은평점
38,광천우리맛,재래 식탁김 12g,도시락김,4.5,950,다중몰,"4,000~5,000",광천 전통 + 12g 대용량 소분
39,바다친구,서천 명품 도시락김,도시락김,4.6,780,온라인,"5,500~6,500",서천 지역 명품 + 프리미엄 감성
40,해농,미니 도시락김 에코,소형도시락,4.3,420,환경마켓,"2,500~3,500",에코패키징 + 미니사이즈
41,해산물식품,통참깨 재래김,도시락김,4.6,1100,온라인,"4,500~5,500",통참깨 100% 압착유 + 고급스러움
42,안동,두릅 재래김,도시락김,4.4,820,온라인,"3,500~4,500",안동 지역 특산 + 담백함
43,영월,명이 재래김,특수재래,4.7,380,온라인,"8,500~10,000",명이 향기 + 프리미엄
44,통영,자연산 김,프리미엠,4.8,250,온라인,"12,000~15,000",통영 자연산 원초 + 최고급
45,구례,숲속 재래김,유기농,4.7,520,온라인,"7,500~9,000",유기농 인증 + 숲향기
46,보성,녹차 재래김,향료김,4.7,680,온라인,"6,000~7,500",녹차향기 성경과 경쟁 + 보성차 유명
47,김해,인삼 재래김,건강식,4.5,420,온라인,"7,000~8,500",인삼 건강식 + 차별화
48,목포,세발 나락 재래김,특수,4.6,340,온라인,"9,000~11,000",목포 전통 + 특이맛
49,남해,회 도시락김,특수도시락,4.5,580,온라인,"5,500~7,000",횟감 고급스러움 + 술안주용
50,통풍감칠,명란젓 저염김,건강식,4.6,320,온라인,"8,000~9,500",명란젓 저염 + 건강식 트렌드
51,사조씨푸드,김 프리미엄 세트,고급세트,4.7,280,온라인,"45,000~55,000",김 대장주 + 수출 명성 + 프리미엄 구성
52,사조대림,더고소한김 도시락,도시락김,4.6,680,다중몰,"5,500~6,500",사조 품질 + 고소함 강조
53,CJ씨푸드,비비고 프리미엄 세트,고급세트,4.7,240,온라인,"48,000~58,000",CJ 수출 대장 + 글로벌 인정
54,한성기업,광천김 캔김 12캔,캔김세트,4.6,350,컬리,"42,000~48,000",광천김 전문 + 캔김 프리미엄
55,동원F&B,양반 스낵김 바이트,간식형,4.5,1850,편의점,"3,000~4,500",양반 시장 1위 + 간식형 확대
56,오뚜기,바삭찹쌀김부각,부각형,4.4,520,마트,"4,500~5,500",오뚜기 전통 + 부각 특화
57,농심,마니커 도시락김,도시락김,4.5,1120,편의점/마트,"3,500~4,500",농심 계열 + 안정적 맛
58,롯데제과,지코바 도시락김,도시락김,4.4,890,편의점,"3,000~4,000",롯데 대기업 신뢰도
